 1.00000000e-02  3.50126003e+01  1.00000000e-02 -1.79863002e+02 
 1.12201845e-02  3.50126050e+01  1.12201845e-02 -1.79876528e+02 
 1.25892541e-02  3.50126088e+01  1.25892541e-02 -1.79888416e+02 
 1.41253754e-02  3.50126118e+01  1.41253754e-02 -1.79898823e+02 
 1.58489319e-02  3.50126143e+01  1.58489319e-02 -1.79907888e+02 
 1.77827941e-02  3.50126163e+01  1.77827941e-02 -1.79915731e+02 
 1.99526231e-02  3.50126180e+01  1.99526231e-02 -1.79922455e+02 
 2.23872114e-02  3.50126194e+01  2.23872114e-02 -1.79928150e+02 
 2.51188643e-02  3.50126207e+01  2.51188643e-02 -1.79932892e+02 
 2.81838293e-02  3.50126218e+01  2.81838293e-02 -1.79936744e+02 
 3.16227766e-02  3.50126229e+01  3.16227766e-02 -1.79939756e+02 
 3.54813389e-02  3.50126240e+01  3.54813389e-02 -1.79941969e+02 
 3.98107171e-02  3.50126252e+01  3.98107171e-02 -1.79943411e+02 
 4.46683592e-02  3.50126265e+01  4.46683592e-02 -1.79944103e+02 
 5.01187234e-02  3.50126280e+01  5.01187234e-02 -1.79944053e+02 
 5.62341325e-02  3.50126298e+01  5.62341325e-02 -1.79943261e+02 
 6.30957344e-02  3.50126319e+01  6.30957344e-02 -1.79941716e+02 
 7.07945784e-02  3.50126346e+01  7.07945784e-02 -1.79939397e+02 
 7.94328235e-02  3.50126378e+01  7.94328235e-02 -1.79936274e+02 
 8.91250938e-02  3.50126419e+01  8.91250938e-02 -1.79932306e+02 
 1.00000000e-01  3.50126470e+01  1.00000000e-01 -1.79927439e+02 
 1.12201845e-01  3.50126534e+01  1.12201845e-01 -1.79921610e+02 
 1.25892541e-01  3.50126614e+01  1.25892541e-01 -1.79914741e+02 
 1.41253754e-01  3.50126715e+01  1.41253754e-01 -1.79906740e+02 
 1.58489319e-01  3.50126842e+01  1.58489319e-01 -1.79897502e+02 
 1.77827941e-01  3.50127001e+01  1.77827941e-01 -1.79886904e+02 
