 1.00000000e-02  3.79427026e+01  1.00000000e-02 -1.79342315e+02 
 1.12201845e-02  3.79428119e+01  1.12201845e-02 -1.79407766e+02 
 1.25892541e-02  3.79428991e+01  1.25892541e-02 -1.79465360e+02 
 1.41253754e-02  3.79429689e+01  1.41253754e-02 -1.79515860e+02 
 1.58489319e-02  3.79430251e+01  1.58489319e-02 -1.79559938e+02 
 1.77827941e-02  3.79430705e+01  1.77827941e-02 -1.79598177e+02 
 1.99526231e-02  3.79431076e+01  1.99526231e-02 -1.79631085e+02 
 2.23872114e-02  3.79431383e+01  2.23872114e-02 -1.79659097e+02 
 2.51188643e-02  3.79431644e+01  2.51188643e-02 -1.79682587e+02 
 2.81838293e-02  3.79431872e+01  2.81838293e-02 -1.79701865e+02 
 3.16227766e-02  3.79432079e+01  3.16227766e-02 -1.79717186e+02 
 3.54813389e-02  3.79432277e+01  3.54813389e-02 -1.79728756e+02 
 3.98107171e-02  3.79432475e+01  3.98107171e-02 -1.79736726e+02 
 4.46683592e-02  3.79432684e+01  4.46683592e-02 -1.79741202e+02 
 5.01187234e-02  3.79432916e+01  5.01187234e-02 -1.79742245e+02 
 5.62341325e-02  3.79433183e+01  5.62341325e-02 -1.79739868e+02 
 6.30957344e-02  3.79433498e+01  6.30957344e-02 -1.79734040e+02 
 7.07945784e-02  3.79433879e+01  7.07945784e-02 -1.79724683e+02 
 7.94328235e-02  3.79434347e+01  7.94328235e-02 -1.79711673e+02 
 8.91250938e-02  3.79434925e+01  8.91250938e-02 -1.79694839e+02 
 1.00000000e-01  3.79435645e+01  1.00000000e-01 -1.79673957e+02 
 1.12201845e-01  3.79436545e+01  1.12201845e-01 -1.79648750e+02 
 1.25892541e-01  3.79437673e+01  1.25892541e-01 -1.79618886e+02 
 1.41253754e-01  3.79439089e+01  1.41253754e-01 -1.79583969e+02 
 1.58489319e-01  3.79440868e+01  1.58489319e-01 -1.79543537e+02 
 1.77827941e-01  3.79443105e+01  1.77827941e-01 -1.79497057e+02 
 1.99526231e-01  3.79445919e+01  1.99526231e-01 -1.79443915e+02 
 2.23872114e-01  3.79449460e+01  2.23872114e-01 -1.79383412e+02 
 2.51188643e-01  3.79453916e+01  2.51188643e-01 -1.79314750e+02 
 2.81838293e-01  3.79459522e+01  2.81838293e-01 -1.79237030e+02 
 3.16227766e-01  3.79466578e+01  3.16227766e-01 -1.79149233e+02 
 3.54813389e-01  3.79475456e+01  3.54813389e-01 -1.79050215e+02 
 3.98107171e-01  3.79486628e+01  3.98107171e-01 -1.78938689e+02 
 4.46683592e-01  3.79500684e+01  4.46683592e-01 -1.78813214e+02 
 5.01187234e-01  3.79518366e+01  5.01187234e-01 -1.78672182e+02 
 5.62341325e-01  3.79540605e+01  5.62341325e-01 -1.78513798e+02 
 6.30957344e-01  3.79568570e+01  6.30957344e-01 -1.78336071e+02 
 7.07945784e-01  3.79603724e+01  7.07945784e-01 -1.78136797e+02 
 7.94328235e-01  3.79647899e+01  7.94328235e-01 -1.77913550e+02 
 8.91250938e-01  3.79703383e+01  8.91250938e-01 -1.77663673e+02 
 1.00000000e+00  3.79773030e+01  1.00000000e+00 -1.77384281e+02 
 1.12201845e+00  3.79860391e+01  1.12201845e+00 -1.77072268e+02 
 1.25892541e+00  3.79969869e+01  1.25892541e+00 -1.76724337e+02 
 1.41253754e+00  3.80106902e+01  1.41253754e+00 -1.76337045e+02 
 1.58489319e+00  3.80278176e+01  1.58489319e+00 -1.75906891e+02 
 1.77827941e+00  3.80491857e+01  1.77827941e+00 -1.75430431e+02 
 1.99526231e+00  3.80757840e+01  1.99526231e+00 -1.74904468e+02 
 2.23872114e+00  3.81087996e+01  2.23872114e+00 -1.74326306e+02 
 2.51188643e+00  3.81496385e+01  2.51188643e+00 -1.73694097e+02 
 2.81838293e+00  3.81999381e+01  2.81838293e+00 -1.73007304e+02 
 3.16227766e+00  3.82615658e+01  3.16227766e+00 -1.72267271e+02 
 3.54813389e+00  3.83365913e+01  3.54813389e+00 -1.71477912e+02 
 3.98107171e+00  3.84272244e+01  3.98107171e+00 -1.70646478e+02 
 4.46683592e+00  3.85357040e+01  4.46683592e+00 -1.69784331e+02 
 5.01187234e+00  3.86641292e+01  5.01187234e+00 -1.68907600e+02 
 5.62341325e+00  3.88142303e+01  5.62341325e+00 -1.68037544e+02 
 6.30957344e+00  3.89870883e+01  6.30957344e+00 -1.67200398e+02 
 7.07945784e+00  3.91828333e+01  7.07945784e+00 -1.66426493e+02 
