 1.00000000e-02 -1.02873428e+01  1.00000000e-02  1.79999993e+02 
 1.12201845e-02 -1.02873428e+01  1.12201845e-02  1.79999993e+02 
 1.25892541e-02 -1.02873428e+01  1.25892541e-02  1.79999992e+02 
 1.41253754e-02 -1.02873428e+01  1.41253754e-02  1.79999991e+02 
 1.58489319e-02 -1.02873428e+01  1.58489319e-02  1.79999989e+02 
 1.77827941e-02 -1.02873428e+01  1.77827941e-02  1.79999988e+02 
 1.99526231e-02 -1.02873428e+01  1.99526231e-02  1.79999987e+02 
 2.23872114e-02 -1.02873428e+01  2.23872114e-02  1.79999985e+02 
 2.51188643e-02 -1.02873428e+01  2.51188643e-02  1.79999983e+02 
 2.81838293e-02 -1.02873428e+01  2.81838293e-02  1.79999981e+02 
 3.16227766e-02 -1.02873428e+01  3.16227766e-02  1.79999979e+02 
 3.54813389e-02 -1.02873428e+01  3.54813389e-02  1.79999976e+02 
 3.98107171e-02 -1.02873428e+01  3.98107171e-02  1.79999973e+02 
 4.46683592e-02 -1.02873428e+01  4.46683592e-02  1.79999970e+02 
 5.01187234e-02 -1.02873428e+01  5.01187234e-02  1.79999966e+02 
 5.62341325e-02 -1.02873428e+01  5.62341325e-02  1.79999962e+02 
 6.30957344e-02 -1.02873428e+01  6.30957344e-02  1.79999958e+02 
 7.07945784e-02 -1.02873428e+01  7.07945784e-02  1.79999953e+02 
 7.94328235e-02 -1.02873428e+01  7.94328235e-02  1.79999947e+02 
 8.91250938e-02 -1.02873428e+01  8.91250938e-02  1.79999940e+02 
 1.00000000e-01 -1.02873428e+01  1.00000000e-01  1.79999933e+02 
 1.12201845e-01 -1.02873428e+01  1.12201845e-01  1.79999925e+02 
 1.25892541e-01 -1.02873428e+01  1.25892541e-01  1.79999916e+02 
 1.41253754e-01 -1.02873428e+01  1.41253754e-01  1.79999905e+02 
 1.58489319e-01 -1.02873428e+01  1.58489319e-01  1.79999894e+02 
 1.77827941e-01 -1.02873428e+01  1.77827941e-01  1.79999881e+02 
 1.99526231e-01 -1.02873428e+01  1.99526231e-01  1.79999866e+02 
 2.23872114e-01 -1.02873428e+01  2.23872114e-01  1.79999850e+02 
 2.51188643e-01 -1.02873428e+01  2.51188643e-01  1.79999832e+02 
 2.81838293e-01 -1.02873428e+01  2.81838293e-01  1.79999811e+02 
 3.16227766e-01 -1.02873428e+01  3.16227766e-01  1.79999788e+02 
 3.54813389e-01 -1.02873428e+01  3.54813389e-01  1.79999762e+02 
 3.98107171e-01 -1.02873428e+01  3.98107171e-01  1.79999733e+02 
 4.46683592e-01 -1.02873428e+01  4.46683592e-01  1.79999701e+02 
 5.01187234e-01 -1.02873428e+01  5.01187234e-01  1.79999664e+02 
 5.62341325e-01 -1.02873428e+01  5.62341325e-01  1.79999623e+02 
 6.30957344e-01 -1.02873428e+01  6.30957344e-01  1.79999577e+02 
 7.07945784e-01 -1.02873428e+01  7.07945784e-01  1.79999525e+02 
 7.94328235e-01 -1.02873428e+01  7.94328235e-01  1.79999467e+02 
 8.91250938e-01 -1.02873428e+01  8.91250938e-01  1.79999402e+02 
 1.00000000e+00 -1.02873428e+01  1.00000000e+00  1.79999330e+02 
 1.12201845e+00 -1.02873428e+01  1.12201845e+00  1.79999248e+02 
 1.25892541e+00 -1.02873428e+01  1.25892541e+00  1.79999156e+02 
