 1.00000000e+01 -1.69147075e+01  1.00000000e+01 -6.43288033e-03 
 1.12201845e+01 -1.69147075e+01  1.12201845e+01 -7.21781042e-03 
 1.25892541e+01 -1.69147075e+01  1.25892541e+01 -8.09851647e-03 
 1.41253754e+01 -1.69147075e+01  1.41253754e+01 -9.08668490e-03 
 1.58489319e+01 -1.69147076e+01  1.58489319e+01 -1.01954281e-02 
 1.77827941e+01 -1.69147076e+01  1.77827941e+01 -1.14394584e-02 
 1.99526231e+01 -1.69147076e+01  1.99526231e+01 -1.28352834e-02 
 2.23872114e+01 -1.69147077e+01  2.23872114e+01 -1.44014248e-02 
 2.51188643e+01 -1.69147078e+01  2.51188643e+01 -1.61586643e-02 
 2.81838293e+01 -1.69147079e+01  2.81838293e+01 -1.81303194e-02 
 3.16227766e+01 -1.69147080e+01  3.16227766e+01 -2.03425527e-02 
 3.54813389e+01 -1.69147081e+01  3.54813389e+01 -2.28247193e-02 
 3.98107171e+01 -1.69147083e+01  3.98107171e+01 -2.56097559e-02 
 4.46683592e+01 -1.69147085e+01  4.46683592e+01 -2.87346182e-02 
 5.01187234e+01 -1.69147088e+01  5.01187234e+01 -3.22407712e-02 
 5.62341325e+01 -1.69147092e+01  5.62341325e+01 -3.61747392e-02 
 6.30957344e+01 -1.69147097e+01  6.30957344e+01 -4.05887235e-02 
 7.07945784e+01 -1.69147103e+01  7.07945784e+01 -4.55412947e-02 
 7.94328235e+01 -1.69147110e+01  7.94328235e+01 -5.10981701e-02 
 8.91250938e+01 -1.69147119e+01  8.91250938e+01 -5.73330857e-02 
 1.00000000e+02 -1.69147131e+01  1.00000000e+02 -6.43287743e-02 
 1.12201845e+02 -1.69147146e+01  1.12201845e+02 -7.21780636e-02 
 1.25892541e+02 -1.69147164e+01  1.25892541e+02 -8.09851077e-02 
 1.41253754e+02 -1.69147187e+01  1.41253754e+02 -9.08667688e-02 
 1.58489319e+02 -1.69147217e+01  1.58489319e+02 -1.01954168e-01 
 1.77827941e+02 -1.69147254e+01  1.77827941e+02 -1.14394425e-01 
 1.99526231e+02 -1.69147300e+01  1.99526231e+02 -1.28352609e-01 
 2.23872114e+02 -1.69147359e+01  2.23872114e+02 -1.44013930e-01 
 2.51188643e+02 -1.69147432e+01  2.51188643e+02 -1.61586194e-01 
 2.81838293e+02 -1.69147525e+01  2.81838293e+02 -1.81302560e-01 
 3.16227766e+02 -1.69147642e+01  3.16227766e+02 -2.03424633e-01 
 3.54813389e+02 -1.69147789e+01  3.54813389e+02 -2.28245930e-01 
 3.98107171e+02 -1.69147974e+01  3.98107171e+02 -2.56095774e-01 
 4.46683592e+02 -1.69148207e+01  4.46683592e+02 -2.87343661e-01 
 5.01187234e+02 -1.69148500e+01  5.01187234e+02 -3.22404151e-01 
 5.62341325e+02 -1.69148869e+01  5.62341325e+02 -3.61742362e-01 
 6.30957344e+02 -1.69149334e+01  6.30957344e+02 -4.05880130e-01 
 7.07945784e+02 -1.69149919e+01  7.07945784e+02 -4.55402911e-01 
 7.94328235e+02 -1.69150656e+01  7.94328235e+02 -5.10967526e-01 
 8.91250938e+02 -1.69151583e+01  8.91250938e+02 -5.73310834e-01 
 1.00000000e+03 -1.69152750e+01  1.00000000e+03 -6.43259460e-01 
 1.12201845e+03 -1.69154220e+01  1.12201845e+03 -7.21740687e-01 
 1.25892541e+03 -1.69156070e+01  1.25892541e+03 -8.09794648e-01 
 1.41253754e+03 -1.69158399e+01  1.41253754e+03 -9.08587982e-01 
 1.58489319e+03 -1.69161330e+01  1.58489319e+03 -1.01942910e+00 
 1.77827941e+03 -1.69165021e+01  1.77827941e+03 -1.14378523e+00 
 1.99526231e+03 -1.69169666e+01  1.99526231e+03 -1.28330149e+00 
 2.23872114e+03 -1.69175514e+01  2.23872114e+03 -1.43982207e+00 
 2.51188643e+03 -1.69182875e+01  2.51188643e+03 -1.61541388e+00 
 2.81838293e+03 -1.69192140e+01  2.81838293e+03 -1.81239278e+00 
 3.16227766e+03 -1.69203801e+01  3.16227766e+03 -2.03335259e+00 
 3.54813389e+03 -1.69218477e+01  3.54813389e+03 -2.28119711e+00 
 3.98107171e+03 -1.69236945e+01  3.98107171e+03 -2.55917533e+00 
 4.46683592e+03 -1.69260185e+01  4.46683592e+03 -2.87091970e+00 
 5.01187234e+03 -1.69289424e+01  5.01187234e+03 -3.22048772e+00 
 5.62341325e+03 -1.69326206e+01  5.62341325e+03 -3.61240635e+00 
 6.30957344e+03 -1.69372468e+01  6.30957344e+03 -4.05171879e+00 
 7.07945784e+03 -1.69430638e+01  7.07945784e+03 -4.54403294e+00 
 7.94328235e+03 -1.69503758e+01  7.94328235e+03 -5.09556971e+00 
 8.91250938e+03 -1.69595637e+01  8.91250938e+03 -5.71320931e+00 
 1.00000000e+04 -1.69711029e+01  1.00000000e+04 -6.40453184e+00 
 1.12201845e+04 -1.69855863e+01  1.12201845e+04 -7.17784745e+00 
 1.25892541e+04 -1.70037514e+01  1.25892541e+04 -8.04220935e+00 
 1.41253754e+04 -1.70265122e+01  1.41253754e+04 -9.00739991e+00 
 1.58489319e+04 -1.70549975e+01  1.58489319e+04 -1.00838775e+01 
 1.77827941e+04 -1.70905944e+01  1.77827941e+04 -1.12826675e+01 
 1.99526231e+04 -1.71349965e+01  1.99526231e+04 -1.26151765e+01 
 2.23872114e+04 -1.71902567e+01  2.23872114e+04 -1.40929052e+01 
 2.51188643e+04 -1.72588384e+01  2.51188643e+04 -1.57270319e+01 
 2.81838293e+04 -1.73436633e+01  2.81838293e+04 -1.75278395e+01 
 3.16227766e+04 -1.74481445e+01  3.16227766e+04 -1.95039639e+01 
 3.54813389e+04 -1.75761965e+01  3.54813389e+04 -2.16614564e+01 
 3.98107171e+04 -1.77322057e+01  3.98107171e+04 -2.40026829e+01 
 4.46683592e+04 -1.79209483e+01  4.46683592e+04 -2.65251229e+01 
 5.01187234e+04 -1.81474404e+01  5.01187234e+04 -2.92201889e+01 
 5.62341325e+04 -1.84167142e+01  5.62341325e+04 -3.20722452e+01 
 6.30957344e+04 -1.87335246e+01  6.30957344e+04 -3.50580507e+01 
 7.07945784e+04 -1.91020104e+01  7.07945784e+04 -3.81468489e+01 
 7.94328235e+04 -1.95253483e+01  7.94328235e+04 -4.13012671e+01 
 8.91250938e+04 -2.00054564e+01  8.91250938e+04 -4.44790495e+01 
