point_id,mode,corner,mos_section,temp_c,vdd_v,draw_index,draw_seed,status,fail_reason,vos_v
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,0,20260921,PASS,,0.0376713392
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,1,20260922,PASS,,0.0163078995
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,2,20260923,PASS,,0.0034522037
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,3,20260924,PASS,,0.0111765523
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,4,20260925,PASS,,0.00935912324
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,5,20260926,PASS,,0.0146138023
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,6,20260927,PASS,,0.00127815973
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,7,20260928,PASS,,0.01470267
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,8,20260929,PASS,,0.0181729534
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,9,20260930,PASS,,0.0171321982
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,10,20260931,PASS,,0.00586682771
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,11,20260932,PASS,,0.0100120542
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,12,20260933,PASS,,0.00270628518
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,13,20260934,PASS,,0.0144497963
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,14,20260935,PASS,,0.00543823775
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,15,20260936,PASS,,0.0123962743
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,16,20260937,PASS,,0.00564301831
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,17,20260938,PASS,,0.0179846359
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,18,20260939,PASS,,0.0208729921
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,19,20260940,PASS,,0.0251462017
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,20,20260941,PASS,,0.0245902192
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,21,20260942,PASS,,0.0224338237
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,22,20260943,PASS,,0.0177566748
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,23,20260944,PASS,,0.0156953044
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,24,20260945,PASS,,0.0121286128
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,25,20260946,PASS,,0.00784781871
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,26,20260947,PASS,,0.0117782502
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,27,20260948,PASS,,0.0276255987
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,28,20260949,PASS,,0.0176618845
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,29,20260950,PASS,,0.0110751639
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,30,20260951,PASS,,0.0147929131
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,31,20260952,PASS,,0.0192810653
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,32,20260953,PASS,,0.0212570652
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,33,20260954,PASS,,0.0179080746
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,34,20260955,PASS,,0.00773271986
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,35,20260956,PASS,,0.0146721909
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,36,20260957,PASS,,0.00561394876
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,37,20260958,PASS,,0.00838094622
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,38,20260959,PASS,,0.0116922515
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,39,20260960,PASS,,0.0136235551
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,40,20260961,PASS,,0.0117745639
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,41,20260962,PASS,,0.0119159873
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,42,20260963,PASS,,0.0216166199
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,43,20260964,PASS,,0.00652693002
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,44,20260965,PASS,,0.0272167978
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,45,20260966,PASS,,0.0131109215
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,46,20260967,PASS,,0.0105862381
mos_tt_mismatch_-40C_1.20V,mismatch,mos_tt,mos_tt_mismatch,-40,1.20,47,20260968,PASS,,0.00792523795
