point_id,corner,temp_c,vdd_v,vcm_v,vstep_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,ivdd_signal_path_a,sr_rise_v_per_us,sr_fall_v_per_us,sr_worst_v_per_us,sr_rise_inner_v_per_us,sr_fall_inner_v_per_us,linearity_pass,traverse_pass,drive_pass,vout_min_v,vout_max_v,window_lo_v,window_hi_v
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,0.3,1,0.64469,0.795566,0.622849,0.249961,0.370492,0.000105543,9.5543e-05,9.56033,9.24857,9.24857,9.57009,9.26086,1,1,1,-0.0117649,1.23584,0.51,0.81
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,0.3,1,0.524745,0.487601,0.299539,0.0859062,0.392554,0.000111804,0.000101804,8.15303,8.2427,8.15303,8.16501,8.25667,1,1,1,-0.00670154,0.999762,0.39,0.69
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,0.3,1,0.586109,0.596679,0.416199,0.140642,0.392554,0.000115338,0.000105338,8.81053,8.67229,8.67229,8.81891,8.68154,1,1,1,-0.00695504,1.12056,0.45,0.75
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,0.3,1,0.647081,0.710969,0.533036,0.197226,0.392554,0.00011836,0.00010836,9.30247,9.06914,9.06914,9.30855,9.07593,1,1,1,-0.00719936,1.23824,0.51,0.81
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,0.3,1,0.522254,0.487711,0.305177,0.119684,0.365141,0.000106512,9.6512e-05,8.35865,8.47527,8.35865,8.37505,8.49618,1,1,1,-0.00850326,0.995965,0.39,0.69
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,0.3,1,0.583814,0.598461,0.421734,0.175858,0.365141,0.000109512,9.9512e-05,9.03153,8.92535,8.92535,9.04196,8.93802,1,1,1,-0.00878803,1.1192,0.45,0.75
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,0.3,1,0.645039,0.712555,0.538471,0.233128,0.365141,0.000112177,0.000102177,9.56264,9.31256,9.31256,9.57005,9.32111,1,1,1,-0.00906155,1.2375,0.51,0.81
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,0.3,1,0.518652,0.506917,0.335611,0.176269,0.321384,0.000100948,9.0948e-05,8.72582,8.75195,8.72582,8.75536,8.79003,1,1,1,-0.0116804,0.991609,0.39,0.69
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,0.3,1,0.58084,0.618813,0.452113,0.234003,0.321384,0.000103412,9.3412e-05,9.38227,9.24415,9.24415,9.39871,9.266,1,1,1,-0.0120008,1.11822,0.45,0.75
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,0.3,1,0.642442,0.732888,0.568822,0.292175,0.321384,0.000105639,9.5639e-05,9.91239,9.63597,9.63597,9.92286,9.64962,1,1,1,-0.0123066,1.23814,0.51,0.81
