point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,ivdd_signal_path_a,av0_db,gbw_hz,pm_deg,gm_status,gm_db,gm_freq_hz
mos_ss_27C_1.08V,mos_ss,27,1.08,0.54,1,0.521838,0.502861,0.277473,0.0580756,0.438845,0.000105395,9.5395e-05,42.2749,5.89758e+06,76.9094,measured,22.5499,5.51895e+07
mos_ss_27C_1.20V,mos_ss,27,1.20,0.6,1,0.584796,0.592136,0.393926,0.1066,0.438845,0.000109687,9.9687e-05,43.047,5.77924e+06,77.2847,measured,22.9618,5.59697e+07
mos_ss_27C_1.32V,mos_ss,27,1.32,0.66,1,0.646242,0.701043,0.510655,0.161711,0.438845,0.000112698,0.000102698,43.7571,5.56402e+06,77.8443,measured,23.4702,5.63522e+07
mos_ss_125C_1.08V,mos_ss,125,1.08,0.54,1,0.519078,0.508919,0.307583,0.109045,0.395788,9.98521E-05,8.98521e-05,39.711,5.07212e+06,76.4573,measured,22.1651,4.52089e+07
mos_ss_125C_1.20V,mos_ss,125,1.20,0.6,1,0.581861,0.609818,0.42401,0.162492,0.395788,0.000102937,9.2937e-05,40.8965,4.90388e+06,76.943,measured,22.6524,4.55852e+07
mos_ss_125C_1.32V,mos_ss,125,1.32,0.66,1,0.643545,0.72075,0.540689,0.219058,0.395788,0.000105347,9.534700000000001e-05,41.9971,4.89846e+06,77.0005,measured,22.804,4.59317e+07
mos_ff_-40C_1.08V,mos_ff,-40,1.08,0.54,1,0.526122,0.5544,0.376318,0.11195,0.368739,0.000111806,0.00010180600000000001,42.2866,6.10246e+06,78.0549,measured,23.5096,6.26202e+07
mos_ff_-40C_1.20V,mos_ff,-40,1.20,0.6,1,0.587154,0.667411,0.492996,0.16793,0.368739,0.000115032,0.000105032,43.0893,6.1053e+06,78.1324,measured,23.6688,6.31522e+07
mos_ff_-40C_1.32V,mos_ff,-40,1.32,0.66,1,0.648044,0.78222,0.60983,0.224565,0.368739,0.000118012,0.000108012,44.1351,6.32076e+06,77.8101,measured,23.5023,6.38797e+07
mos_ff_27C_1.08V,mos_ff,27,1.08,0.54,1,0.523986,0.558578,0.384829,0.147456,0.341318,0.000106637,9.6637e-05,40.9227,5.55222e+06,77.5439,measured,23.0825,5.4062e+07
