 1.86995298e-02  4.92555631e-01  1.86995298e-02  5.81277675e-01  1.86995298e-02  4.21093131e-01  1.86995298e-02  2.13566521e-01  1.86995298e-02  2.97521155e-01  1.86995298e-02 -1.00431475e-04 
 1.87035298e-02  4.92932400e-01  1.87035298e-02  5.81278038e-01  1.87035298e-02  4.21063075e-01  1.87035298e-02  2.13565022e-01  1.87035298e-02  2.97521155e-01  1.87035298e-02 -1.00443765e-04 
 1.87075298e-02  4.93309496e-01  1.87075298e-02  5.81278400e-01  1.87075298e-02  4.21032971e-01  1.87075298e-02  2.13563519e-01  1.87075298e-02  2.97521155e-01  1.87075298e-02 -1.00456062e-04 
 1.87115298e-02  4.93686645e-01  1.87115298e-02  5.81278762e-01  1.87115298e-02  4.21002869e-01  1.87115298e-02  2.13562015e-01  1.87115298e-02  2.97521155e-01  1.87115298e-02 -1.00468357e-04 
 1.87155298e-02  4.94063838e-01  1.87155298e-02  5.81279124e-01  1.87155298e-02  4.20972769e-01  1.87155298e-02  2.13560512e-01  1.87155298e-02  2.97521156e-01  1.87155298e-02 -1.00480649e-04 
 1.87195298e-02  4.94441081e-01  1.87195298e-02  5.81279486e-01  1.87195298e-02  4.20942670e-01  1.87195298e-02  2.13559008e-01  1.87195298e-02  2.97521156e-01  1.87195298e-02 -1.00492938e-04 
 1.87235298e-02  4.94818379e-01  1.87235298e-02  5.81279847e-01  1.87235298e-02  4.20912573e-01  1.87235298e-02  2.13557505e-01  1.87235298e-02  2.97521156e-01  1.87235298e-02 -1.00505226e-04 
 1.87275298e-02  4.95195723e-01  1.87275298e-02  5.81280209e-01  1.87275298e-02  4.20882477e-01  1.87275298e-02  2.13556001e-01  1.87275298e-02  2.97521156e-01  1.87275298e-02 -1.00517511e-04 
 1.87315298e-02  4.95573115e-01  1.87315298e-02  5.81280571e-01  1.87315298e-02  4.20852383e-01  1.87315298e-02  2.13554498e-01  1.87315298e-02  2.97521156e-01  1.87315298e-02 -1.00529793e-04 
 1.87355298e-02  4.95950548e-01  1.87355298e-02  5.81280933e-01  1.87355298e-02  4.20822292e-01  1.87355298e-02  2.13552994e-01  1.87355298e-02  2.97521156e-01  1.87355298e-02 -1.00542073e-04 
 1.87395298e-02  4.96328044e-01  1.87395298e-02  5.81281295e-01  1.87395298e-02  4.20792201e-01  1.87395298e-02  2.13551491e-01  1.87395298e-02  2.97521156e-01  1.87395298e-02 -1.00554351e-04 
 1.87435298e-02  4.96705578e-01  1.87435298e-02  5.81281657e-01  1.87435298e-02  4.20762113e-01  1.87435298e-02  2.13549987e-01  1.87435298e-02  2.97521156e-01  1.87435298e-02 -1.00566626e-04 
 1.87475298e-02  4.97083165e-01  1.87475298e-02  5.81282018e-01  1.87475298e-02  4.20732026e-01  1.87475298e-02  2.13548483e-01  1.87475298e-02  2.97521156e-01  1.87475298e-02 -1.00578899e-04 
 1.87515298e-02  4.97460793e-01  1.87515298e-02  5.81282380e-01  1.87515298e-02  4.20701941e-01  1.87515298e-02  2.13546980e-01  1.87515298e-02  2.97521156e-01  1.87515298e-02 -1.00591169e-04 
 1.87555298e-02  4.97838466e-01  1.87555298e-02  5.81282742e-01  1.87555298e-02  4.20671858e-01  1.87555298e-02  2.13545476e-01  1.87555298e-02  2.97521156e-01  1.87555298e-02 -1.00603436e-04 
 1.87595298e-02  4.98216193e-01  1.87595298e-02  5.81283104e-01  1.87595298e-02  4.20641777e-01  1.87595298e-02  2.13543973e-01  1.87595298e-02  2.97521156e-01  1.87595298e-02 -1.00615701e-04 
