-5.80047020e-03  1.88309061e-02 -5.80047020e-03 -3.32800632e-05 
-5.79047020e-03  1.88552767e-02 -5.79047020e-03 -3.32966364e-05 
-5.78047020e-03  1.88796661e-02 -5.78047020e-03 -3.33132198e-05 
-5.77047020e-03  1.89040772e-02 -5.77047020e-03 -3.33298150e-05 
-5.76047020e-03  1.89285098e-02 -5.76047020e-03 -3.33464215e-05 
-5.75047020e-03  1.89529644e-02 -5.75047020e-03 -3.33630398e-05 
-5.74047020e-03  1.89774403e-02 -5.74047020e-03 -3.33796694e-05 
-5.73047020e-03  1.90019380e-02 -5.73047020e-03 -3.33963107e-05 
-5.72047020e-03  1.90264573e-02 -5.72047020e-03 -3.34129634e-05 
-5.71047020e-03  1.90509982e-02 -5.71047020e-03 -3.34296276e-05 
-5.70047020e-03  1.90755608e-02 -5.70047020e-03 -3.34463034e-05 
-5.69047020e-03  1.91001452e-02 -5.69047020e-03 -3.34629907e-05 
-5.68047020e-03  1.91247511e-02 -5.68047020e-03 -3.34796895e-05 
-5.67047020e-03  1.91493788e-02 -5.67047020e-03 -3.34963998e-05 
-5.66047020e-03  1.91740283e-02 -5.66047020e-03 -3.35131217e-05 
-5.65047020e-03  1.91986993e-02 -5.65047020e-03 -3.35298550e-05 
-5.64047020e-03  1.92233920e-02 -5.64047020e-03 -3.35465997e-05 
-5.63047020e-03  1.92481068e-02 -5.63047020e-03 -3.35633562e-05 
-5.62047020e-03  1.92728432e-02 -5.62047020e-03 -3.35801242e-05 
-5.61047020e-03  1.92976013e-02 -5.61047020e-03 -3.35969035e-05 
-5.60047020e-03  1.93223811e-02 -5.60047020e-03 -3.36136944e-05 
-5.59047020e-03  1.93471831e-02 -5.59047020e-03 -3.36304970e-05 
-5.58047020e-03  1.93720066e-02 -5.58047020e-03 -3.36473109e-05 
-5.57047020e-03  1.93968516e-02 -5.57047020e-03 -3.36641361e-05 
-5.56047020e-03  1.94217188e-02 -5.56047020e-03 -3.36809731e-05 
-5.55047020e-03  1.94466076e-02 -5.55047020e-03 -3.36978215e-05 
-5.54047020e-03  1.94715184e-02 -5.54047020e-03 -3.37146814e-05 
-5.53047020e-03  1.94964511e-02 -5.53047020e-03 -3.37315529e-05 
-5.52047020e-03  1.95214055e-02 -5.52047020e-03 -3.37484357e-05 
-5.51047020e-03  1.95463820e-02 -5.51047020e-03 -3.37653303e-05 
-5.50047020e-03  1.95713802e-02 -5.50047020e-03 -3.37822362e-05 
-5.49047020e-03  1.95964003e-02 -5.49047020e-03 -3.37991536e-05 
-5.48047020e-03  1.96214423e-02 -5.48047020e-03 -3.38160824e-05 
-5.47047020e-03  1.96465061e-02 -5.47047020e-03 -3.38330227e-05 
-5.46047020e-03  1.96715921e-02 -5.46047020e-03 -3.38499747e-05 
-5.45047020e-03  1.96966999e-02 -5.45047020e-03 -3.38669381e-05 
-5.44047020e-03  1.97218294e-02 -5.44047020e-03 -3.38839128e-05 
-5.43047020e-03  1.97469810e-02 -5.43047020e-03 -3.39008991e-05 
-5.42047020e-03  1.97721546e-02 -5.42047020e-03 -3.39178969e-05 
-5.41047020e-03  1.97973502e-02 -5.41047020e-03 -3.39349061e-05 
-5.40047020e-03  1.98225678e-02 -5.40047020e-03 -3.39519269e-05 
-5.39047020e-03  1.98478074e-02 -5.39047020e-03 -3.39689592e-05 
-5.38047020e-03  1.98730689e-02 -5.38047020e-03 -3.39860028e-05 
-5.37047020e-03  1.98983525e-02 -5.37047020e-03 -3.40030580e-05 
-5.36047020e-03  1.99236579e-02 -5.36047020e-03 -3.40201246e-05 
-5.35047020e-03  1.99489856e-02 -5.35047020e-03 -3.40372027e-05 
-5.34047020e-03  1.99743353e-02 -5.34047020e-03 -3.40542923e-05 
-5.33047020e-03  1.99997070e-02 -5.33047020e-03 -3.40713934e-05 
-5.32047020e-03  2.00251007e-02 -5.32047020e-03 -3.40885059e-05 
-5.31047020e-03  2.00505166e-02 -5.31047020e-03 -3.41056299e-05 
-5.30047020e-03  2.00759545e-02 -5.30047020e-03 -3.41227652e-05 
-5.29047020e-03  2.01014144e-02 -5.29047020e-03 -3.41399121e-05 
-5.28047020e-03  2.01268967e-02 -5.28047020e-03 -3.41570705e-05 
-5.27047020e-03  2.01524010e-02 -5.27047020e-03 -3.41742404e-05 
-5.26047020e-03  2.01779272e-02 -5.26047020e-03 -3.41914215e-05 
-5.25047020e-03  2.02034757e-02 -5.25047020e-03 -3.42086142e-05 
-5.24047020e-03  2.02290464e-02 -5.24047020e-03 -3.42258184e-05 
-5.23047020e-03  2.02546390e-02 -5.23047020e-03 -3.42430339e-05 
-5.22047020e-03  2.02802542e-02 -5.22047020e-03 -3.42602611e-05 
-5.21047020e-03  2.03058913e-02 -5.21047020e-03 -3.42774995e-05 
-5.20047020e-03  2.03315507e-02 -5.20047020e-03 -3.42947495e-05 
-5.19047020e-03  2.03572322e-02 -5.19047020e-03 -3.43120109e-05 
-5.18047020e-03  2.03829359e-02 -5.18047020e-03 -3.43292836e-05 
-5.17047020e-03  2.04086619e-02 -5.17047020e-03 -3.43465679e-05 
-5.16047020e-03  2.04344101e-02 -5.16047020e-03 -3.43638636e-05 
-5.15047020e-03  2.04601803e-02 -5.15047020e-03 -3.43811706e-05 
-5.14047020e-03  2.04859732e-02 -5.14047020e-03 -3.43984893e-05 
-5.13047020e-03  2.05117882e-02 -5.13047020e-03 -3.44158193e-05 
-5.12047020e-03  2.05376253e-02 -5.12047020e-03 -3.44331606e-05 
-5.11047020e-03  2.05634850e-02 -5.11047020e-03 -3.44505136e-05 
-5.10047020e-03  2.05893667e-02 -5.10047020e-03 -3.44678778e-05 
-5.09047020e-03  2.06152710e-02 -5.09047020e-03 -3.44852537e-05 
-5.08047020e-03  2.06411973e-02 -5.08047020e-03 -3.45026407e-05 
-5.07047020e-03  2.06671462e-02 -5.07047020e-03 -3.45200393e-05 
-5.06047020e-03  2.06931172e-02 -5.06047020e-03 -3.45374492e-05 
-5.05047020e-03  2.07191105e-02 -5.05047020e-03 -3.45548705e-05 
-5.04047020e-03  2.07451266e-02 -5.04047020e-03 -3.45723035e-05 
-5.03047020e-03  2.07711647e-02 -5.03047020e-03 -3.45897477e-05 
-5.02047020e-03  2.07972255e-02 -5.02047020e-03 -3.46072034e-05 
-5.01047020e-03  2.08233083e-02 -5.01047020e-03 -3.46246704e-05 
-5.00047020e-03  2.08494135e-02 -5.00047020e-03 -3.46421488e-05 
-4.99047020e-03  2.08755413e-02 -4.99047020e-03 -3.46596386e-05 
-4.98047020e-03  2.09016915e-02 -4.98047020e-03 -3.46771399e-05 
-4.97047020e-03  2.09278642e-02 -4.97047020e-03 -3.46946526e-05 
-4.96047020e-03  2.09540594e-02 -4.96047020e-03 -3.47121767e-05 
-4.95047020e-03  2.09802768e-02 -4.95047020e-03 -3.47297121e-05 
-4.94047020e-03  2.10065171e-02 -4.94047020e-03 -3.47472592e-05 
