device,length_um,corner,vgs_v,vds_v,ids_a,gm_s,gds_s,cgg_f,gm_id_per_v,gm_gds,ft_hz,vth_v,overdrive_v
nmos,0.13u,mos_ff,0.0500,0.6000,8.579939e-09,1.968853e-07,9.868615e-09,1.286660e-14,22.947168,19.950652,2.435396e+06,0.3039,-0.2539
nmos,0.13u,mos_ff,0.0700,0.6000,1.474757e-08,4.198776e-07,1.711707e-08,1.288440e-14,28.470968,24.529759,5.186551e+06,0.3039,-0.2339
nmos,0.13u,mos_ff,0.0900,0.6000,2.537504e-08,7.238099e-07,2.971738e-08,1.290260e-14,28.524483,24.356451,8.928272e+06,0.3039,-0.2139
nmos,0.13u,mos_ff,0.1100,0.6000,4.369996e-08,1.248449e-06,5.162737e-08,1.292140e-14,28.568653,24.181921,1.537735e+07,0.3039,-0.1939
nmos,0.13u,mos_ff,0.1300,0.6000,7.531302e-08,2.153974e-06,8.972679e-08,1.294110e-14,28.600287,24.005918,2.649045e+07,0.3039,-0.1739
nmos,0.13u,mos_ff,0.1500,0.6000,1.298589e-07,3.715650e-06,1.559515e-07,1.296200e-14,28.612979,23.825677,4.562290e+07,0.3039,-0.1539
nmos,0.13u,mos_ff,0.1700,0.6000,2.239390e-07,6.403611e-06,2.709326e-07,1.298520e-14,28.595336,23.635439,7.848677e+07,0.3039,-0.1339
nmos,0.13u,mos_ff,0.1900,0.6000,3.860034e-07,1.101194e-05,4.700878e-07,1.301190e-14,28.528091,23.425284,1.346924e+08,0.3039,-0.1139
nmos,0.13u,mos_ff,0.2100,0.6000,6.644165e-07,1.885590e-05,8.134898e-07,1.304470e-14,28.379638,23.179024,2.300559e+08,0.3039,-0.0939
nmos,0.13u,mos_ff,0.2300,0.6000,1.140239e-06,3.204162e-05,1.400903e-06,1.308750e-14,28.100793,22.872119,3.896529e+08,0.3039,-0.0739
nmos,0.13u,mos_ff,0.2500,0.6000,1.946081e-06,5.375276e-05,2.392111e-06,1.314660e-14,27.621029,22.470847,6.507399e+08,0.3039,-0.0539
nmos,0.13u,mos_ff,0.2700,0.6000,3.290350e-06,8.835653e-05,4.027699e-06,1.323110e-14,26.853231,21.937223,1.062828e+09,0.3039,-0.0339
nmos,0.13u,mos_ff,0.2900,0.6000,5.480343e-06,1.409419e-04,6.634026e-06,1.335310e-14,25.717715,21.245304,1.679880e+09,0.3039,-0.0139
nmos,0.13u,mos_ff,0.3100,0.6000,8.928028e-06,2.159691e-04,1.058153e-05,1.352500e-14,24.190012,20.410007,2.541408e+09,0.3039,0.0061
nmos,0.13u,mos_ff,0.3300,0.6000,1.411911e-05,3.155315e-04,1.617211e-05,1.375480e-14,22.347832,19.510843,3.650973e+09,0.3039,0.0261
