point_id,corner,temp_c,vdd_v,vcm_v,op_pass,icmr_lo_v,icmr_hi_v,icmr_span_v,buffer_use_lo_v,buffer_use_hi_v,buffer_use_span_v,contains_vcm,centre_gap_lo_v,mech_lo,mech_hi,hi_round_shift_v,hi_converged,vdsat5_meas_v,vth_pair_cc_v,vthreq_pair_v,vtail_lo_v,vds1_lo_v,vds2_lo_v,margin_m5_lo_v,margin_pair_lo_v,vtail_hi_v,vgs1_hi_v,vsb1_hi_v,vds1_hi_v,vds2_hi_v,margin_m5_hi_v,margin_pair_hi_v,ivdd_lo_a,ivdd_hi_a,ratio_ivdd_lo_c_a,op_vout_v,op_vtail_v,op_vd1_v,op_vd2_v,op_vibias_v,op_ivdd_a,x_vtail_ac_delta_v,x_vd1_ac_delta_v,x_vd2_ac_delta_v,x_vibias_ac_delta_v,swing_vout_max_track_v,swing_vout_min_track_v
mos_ss_-40C_1.20V,mos_ss,-40,1.20,0.6,1,0.6328131,1.08395861,0.45114551,0.6328131,0.938718519,0.305905419,0,0.0328131,m5_headroom,pair_saturation,0.00021515105,1,0.11,0.534631019,0.068624919,0.110199939,0.471136645,0.47113941,0.000199939,0.402511726,0.480453122,0.603255938,0.480453122,0.068886815,0.068887728,0.370453122,0.000261896,3.0228871e-05,4.12162386e-05,1.0701546,0.00940409,0.0841325,0.588203,0.588205,0.465627,2.82472e-05,0.0093255,-0.005019,0.199393,0,0.938718519,0.149757119
mos_ss_-40C_1.32V,mos_ss,-40,1.32,0.66,1,0.626638104,1.20581947,0.579181366,0.626638104,1.05031387,0.423675766,1,-0.033361896,m5_headroom,pair_saturation,0.000320057114,1,0.11,0.543461227,0.071760736,0.11020214,0.591134031,0.591137136,0.00020214,0.519373295,0.590347827,0.615221963,0.590347827,0.072021715,0.072022678,0.480347827,0.000260979,3.0295899e-05,4.41138241e-05,0.961536477,0.0115616,0.137668,0.69736,0.697363,0.465627,3.15078e-05,0.009385,-0.002132,0.191706,0,1.05031387,0.154671695
mos_ss_27C_1.08V,mos_ss,27,1.08,0.54,1,0.630237342,0.920927071,0.290689729,0.630237342,0.806475256,0.176237914,0,0.090237342,m5_headroom,pair_saturation,0.000351224291,1,0.135,0.479940754,0.07512117,0.13519686,0.328919923,0.328922687,0.00019686,0.253798753,0.365615585,0.555061924,0.365615585,0.075385143,0.075386246,0.230615585,0.000263973,3.45716868e-05,4.1882716e-05,1.26118345,0.0115505,0.0690559,0.491465,0.491468,0.438845,2.74121e-05,0.0109803,-0.011396,0.213995,0,0.806475256,0.168339339
mos_ss_27C_1.20V,mos_ss,27,1.20,0.6,1,0.621408287,1.04242138,0.421013093,0.621408287,0.917835896,0.296427609,0,0.021408287,m5_headroom,pair_saturation,0.000128414246,1,0.135,0.489622856,0.078431964,0.135198436,0.448918049,0.448921212,0.000198436,0.370486085,0.47411714,0.56805482,0.47411714,0.07869444,0.078695595,0.33911714,0.000262476,3.46486214e-05,4.48666284e-05,1.03178935,0.0167153,0.118031,0.587824,0.587827,0.438845,3.35811e-05,0.011431,-0.004312,0.193901,0,0.917835896,0.173961401
mos_ss_27C_1.32V,mos_ss,27,1.32,0.66,1,0.614061658,1.16405693,0.549995272,0.614061658,1.02903242,0.414970762,1,-0.045938342,m5_headroom,pair_saturation,0.000221221542,1,0.135,0.498660348,0.081715543,0.135201636,0.56891425,0.568917815,0.000201636,0.487198707,0.583431329,0.580375891,0.583431329,0.081977193,0.081978392,0.448431329,0.00026165,3.47184793e-05,4.77099316e-05,0.955673716,0.0191488,0.17275,0.698725,0.698728,0.438845,3.63288e-05,0.011039,-0.002318,0.188073,0,1.02903242,0.180208901
mos_ss_125C_1.08V,mos_ss,125,1.08,0.54,1,0.615799253,0.869005017,0.253205764,0.615799253,0.776986349,0.161187096,0,0.075799253,m5_headroom,pair_saturation,0.000237845341,1,0.18,0.404235467,0.090606528,0.180192526,0.305166937,0.305169989,0.000192526,0.214560409,0.373913391,0.494841995,0.373913391,0.090870849,0.090872208,0.193913391,0.000264321,4.09919601e-05,4.71430382e-05,1.11399672,0.0271856,0.123328,0.500901,0.500904,0.395788,3.67972e-05,0.014283,-0.008018,0.193321,0,0.776986349,0.206028576
mos_ss_125C_1.20V,mos_ss,125,1.20,0.6,1,0.604703231,0.990451633,0.385748402,0.604703231,0.889388686,0.284685455,0,0.004703231,m5_headroom,pair_saturation,0.000320221122,1,0.18,0.414144307,0.094400177,0.180196569,0.425162166,0.425165661,0.000196569,0.330761989,0.481657305,0.508544484,0.481657305,0.094663231,0.094664623,0.301657305,0.000263054,4.10742174e-05,4.99804615e-05,1.00478287,0.0323417,0.176303,0.606051,0.606054,0.395788,4.08787e-05,0.013811,-0.003767,0.182044,0,0.889388686,0.215014902
mos_ss_125C_1.32V,mos_ss,125,1.32,0.66,1,0.595576459,1.11263565,0.517059191,0.595576459,1.0009402,0.405363741,1,-0.064423541,m5_headroom,pair_saturation,0.00014203806,1,0.18,0.423974666,0.097660829,0.180199726,0.54515843,0.545162333,0.000199726,0.447497601,0.590750545,0.521635495,0.590750545,0.097922435,0.097923838,0.410750545,0.000261606,4.11484691e-05,5.26587327e-05,0.952175834,0.0354231,0.232067,0.718221,0.718225,0.395788,4.32152e-05,0.013009,-0.002529,0.177536,0,1.0009402,0.223073866
mos_ff_-40C_1.08V,mos_ff,-40,1.08,0.54,1,0.524166351,0.942995622,0.418829271,0.524166351,0.828451945,0.304285594,1,-0.015833649,m5_headroom,pair_saturation,0.000169382107,1,0.11,0.41897616,0.075816561,0.110196642,0.44348717,0.44349636,0.000196642,0.367670609,0.447953459,0.494792721,0.447953459,0.076078528,0.076082038,0.337953459,0.000261967,3.25170101e-05,4.32881894e-05,0.979708353,0.0128859,0.122675,0.551603,0.551612,0.368739,3.31905e-05,0.010725,-0.002797,0.175294,0,0.828451945,0.141167273
mos_ff_-40C_1.20V,mos_ff,-40,1.20,0.6,1,0.517136704,1.06523557,0.548098866,0.517136704,0.939680341,0.422543637,1,-0.082863296,m5_headroom,pair_saturation,0.000302258558,1,0.11,0.428290936,0.079272309,0.110198083,0.563485388,0.563495181,0.000198083,0.484213079,0.557422415,0.507563245,0.557422415,0.079533677,0.079537265,0.447422415,0.000261368,3.26004954e-05,4.63696106e-05,0.921732928,0.0144325,0.178182,0.665391,0.6654,0.368739,3.53687e-05,0.010252,-0.00202,0.172404,0,0.939680341,0.145818601
mos_ff_-40C_1.32V,mos_ff,-40,1.32,0.66,1,0.511224997,1.18809542,0.676870423,0.511224997,1.05116497,0.539939973,1,-0.148775003,m5_headroom,pair_saturation,0.000168490679,1,0.11,0.437609682,0.082244433,0.110200745,0.683482141,0.683492134,0.000200745,0.601237708,0.667991685,0.519854115,0.667991685,0.082504549,0.08250814,0.557991685,0.000260116,3.26765821e-05,4.93286536e-05,0.877579424,0.0157917,0.234196,0.780362,0.780371,0.368739,3.72349e-05,0.009631,-0.001858,0.170541,0,1.05116497,0.151073158
mos_ff_27C_1.08V,mos_ff,27,1.08,0.54,1,0.508755876,0.900143799,0.391387923,0.508755876,0.809926816,0.30117094,1,-0.031244124,m5_headroom,pair_saturation,0.000305644191,1,0.135,0.369212318,0.085373482,0.135195378,0.424390466,0.424403951,0.000195378,0.339016984,0.445308057,0.4545858,0.445308057,0.085636394,0.085641799,0.310308057,0.000262912,3.67375112e-05,4.6591703e-05,0.968336141,0.0206049,0.15985,0.555781,0.555794,0.341318,3.79388e-05,0.012394,-0.002797,0.170965,0,0.809926816,0.165630609
mos_ff_27C_1.20V,mos_ff,27,1.20,0.6,1,0.500649885,1.02256551,0.521915625,0.500649885,0.921359303,0.420709418,1,-0.099350115,m5_headroom,pair_saturation,0.000140183178,1,0.135,0.379026373,0.088692439,0.135199119,0.544385904,0.544400279,0.000199119,0.455693465,0.554597118,0.467718812,0.554597118,0.088953808,0.0889592,0.419597118,0.000261369,3.68219379e-05,4.95665163e-05,0.919757456,0.0225645,0.215949,0.669662,0.669675,0.341318,4.00344e-05,0.011706,-0.002184,0.168231,0,0.921359303,0.171041486
mos_ff_27C_1.32V,mos_ff,27,1.32,0.66,1,0.493881728,1.1449932,0.651111472,0.493881728,1.03230187,0.538420142,1,-0.166118272,m5_headroom,pair_saturation,0.000295424394,1,0.135,0.388171014,0.092055741,0.135200826,0.664383725,0.664398287,0.000200826,0.572327984,0.664766445,0.480226755,0.664766445,0.092055742,0.092061031,0.529766445,9.99999972e-10,3.68985344e-05,5.23992453e-05,0.88107066,0.0243334,0.272445,0.784517,0.78453,0.341318,4.18792e-05,0.010948,-0.001989,0.16631,0,1.03230187,0.177377763
mos_ff_125C_1.08V,mos_ff,125,1.08,0.54,1,0.488241654,0.848587768,0.360346114,0.488241654,0.782845933,0.294604279,1,-0.051758346,m5_headroom,pair_saturation,0.00021574072,1,0.18,0.289877067,0.10054344,0.180192613,0.404809127,0.404827181,0.000192613,0.304265687,0.457917599,0.390420507,0.457917599,0.10080588,0.100813517,0.277917599,0.00026244,4.30351107e-05,5.15331322e-05,0.961351914,0.0369816,0.220491,0.579342,0.579359,0.297521,4.47652e-05,0.014334,-0.0029,0.160539,0,0.782845933,0.204549841
mos_ff_125C_1.20V,mos_ff,125,1.20,0.6,1,0.478514318,0.971121698,0.49260738,0.478514318,0.895104189,0.416589871,1,-0.121485682,m5_headroom,pair_saturation,0.000367488095,1,0.18,0.299865562,0.104273176,0.180196388,0.524804426,0.524823189,0.000196388,0.42053125,0.566733204,0.404138738,0.566733204,0.104534527,0.104541923,0.386733204,0.000261351,4.31232069e-05,5.42799237e-05,0.922849898,0.0396756,0.277274,0.693431,0.693447,0.297521,4.67283e-05,0.013384,-0.002387,0.158003,0,0.895104189,0.213037795
mos_ff_125C_1.32V,mos_ff,125,1.32,0.66,1,0.470431235,1.0942198,0.623788565,0.470431235,1.00600227,0.535571035,1,-0.189568765,m5_headroom,pair_saturation,0.000238042317,1,0.18,0.309751079,0.107481865,0.18020004,0.64479981,0.64481792,0.00020004,0.537317945,0.676737006,0.417232944,0.676737006,0.107742315,0.107749298,0.496737006,0.00026045,4.32030912e-05,5.68767222e-05,0.891241113,0.0421364,0.33439,0.808354,0.80837,0.297521,4.84752e-05,0.012476,-0.002159,0.156129,0,1.00600227,0.220771964
mos_sf_-40C_1.08V,mos_sf,-40,1.08,0.54,1,0.608287002,1.00700095,0.398713948,0.608287002,0.826536451,0.218249449,0,0.068287002,m5_headroom,pair_saturation,0.000105826455,1,0.11,0.502728019,0.070355784,0.110197552,0.422713126,0.422719789,0.000197552,0.352357342,0.433667807,0.573083803,0.433667807,0.070617848,0.070620288,0.323667807,0.000262064,3.09871072e-05,4.09102806e-05,1.2270518,0.00760061,0.0594597,0.553574,0.55358,0.440982,2.52533e-05,0.0087676,-0.009002,0.206304,0,0.826536451,0.14313933
mos_sf_-40C_1.20V,mos_sf,-40,1.20,0.6,1,0.6013482,1.12892805,0.52757985,0.6013482,0.937327623,0.335979423,0,0.0013482,m5_headroom,pair_saturation,0.000219594183,1,0.11,0.511853288,0.073715462,0.110199862,0.542710352,0.542717623,0.000199862,0.46899489,0.54310967,0.58556875,0.54310967,0.073976718,0.073979263,0.43310967,0.000261256,3.10645352e-05,4.39017477e-05,1.00239867,0.0113261,0.108909,0.653152,0.65316,0.440982,3.09902e-05,0.0094768,-0.003091,0.189281,0,0.937327623,0.147973051
mos_sf_-40C_1.32V,mos_sf,-40,1.32,0.66,1,0.595510536,1.25120811,0.655697574,0.595510536,1.04888873,0.453378194,1,-0.064489464,m5_headroom,pair_saturation,0.00035193308,1,0.11,0.520684597,0.076845232,0.110203318,0.662706213,0.662713903,0.000203318,0.585860981,0.653428641,0.597529829,0.653428641,0.077105548,0.07710816,0.543428641,0.000260316,3.11350816e-05,4.67733191e-05,0.935130654,0.0129065,0.163802,0.766117,0.766125,0.440982,3.32949e-05,0.009129,-0.001972,0.185412,0,1.04888873,0.153217719
mos_sf_27C_1.08V,mos_sf,27,1.08,0.54,1,0.595408498,0.966115617,0.370707119,0.595408498,0.807640072,0.212231574,0,0.055408498,m5_headroom,pair_saturation,0.000364712275,1,0.135,0.455369289,0.080324046,0.135197448,0.40326918,0.403278264,0.000197448,0.322945134,0.430172688,0.535693335,0.430172688,0.080586975,0.080590598,0.295172688,0.000262929,3.51628243e-05,4.42926087e-05,1.11196993,0.0150671,0.0927584,0.5509,0.550909,0.41388,3.16221e-05,0.0111119,-0.006989,0.195349,0,0.807640072,0.167043274
mos_sf_27C_1.20V,mos_sf,27,1.20,0.6,1,0.587245855,1.08817568,0.500929825,0.587245855,0.918763597,0.331517742,1,-0.012754145,m5_headroom,pair_saturation,0.000176923267,1,0.135,0.465015073,0.083575751,0.135198558,0.523267798,0.523277731,0.000198558,0.439692047,0.539335296,0.548590824,0.539335296,0.083837443,0.083841121,0.404335296,0.000261692,3.52418502e-05,4.72134073e-05,0.98570606,0.0186668,0.145294,0.65677,0.65678,0.41388,3.57529e-05,0.011119,-0.002944,0.184684,0,0.918763597,0.172893464
mos_sf_27C_1.32V,mos_sf,27,1.32,0.66,1,0.580449108,1.21030288,0.629853772,0.580449108,1.03030975,0.449860642,1,-0.079550892,m5_headroom,pair_saturation,0.00029432468,1,0.135,0.474028612,0.086807576,0.135202414,0.643263156,0.643273608,0.000202414,0.55645558,0.649216782,0.560836188,0.649216782,0.087068608,0.087072298,0.514216782,0.000261032,3.53137344e-05,4.99944094e-05,0.93149782,0.0206268,0.200799,0.770081,0.770091,0.41388,3.79107e-05,0.010506,-0.002136,0.181241,0,1.03030975,0.179362773
mos_sf_125C_1.08V,mos_sf,125,1.08,0.54,1,0.577490291,0.916217706,0.338727415,0.577490291,0.782015545,0.204525254,0,0.037490291,m5_headroom,pair_saturation,0.000378857198,1,0.18,0.378266617,0.09595001,0.180193386,0.383203727,0.383215248,0.000193386,0.287253717,0.441751427,0.474216627,0.441751427,0.096212971,0.096217926,0.261751427,0.000262961,4.13774015e-05,4.92817502e-05,1.04356624,0.0306409,0.151196,0.569472,0.569484,0.370492,3.965e-05,0.013619,-0.005106,0.179926,0,0.782015545,0.206837796
mos_sf_125C_1.20V,mos_sf,125,1.20,0.6,1,0.567491139,1.0386249,0.471133761,0.567491139,0.892865514,0.325374375,1,-0.032508861,m5_headroom,pair_saturation,0.000206694983,1,0.18,0.388410313,0.099396439,0.180197158,0.503199162,0.503211536,0.000197158,0.403802723,0.550568448,0.487806752,0.550568448,0.099658184,0.099663057,0.370568448,0.000261745,4.14607728e-05,5.20164843e-05,0.973536384,0.0344509,0.205916,0.679556,0.679568,0.370492,4.25878e-05,0.012972,-0.002929,0.173465,0,0.892865514,0.214542962
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,1,0.559223062,1.16104253,0.601819468,0.559223062,1.00444559,0.445222528,1,-0.100776938,m5_headroom,pair_saturation,0.000344990315,1,0.18,0.397835824,0.102802809,0.180200136,0.623195496,0.623208058,0.000200136,0.520392687,0.660154117,0.500638633,0.660154117,0.103063604,0.103068318,0.480154117,0.000260795,4.15361999e-05,5.4594246e-05,0.931703934,0.037126,0.262091,0.79323,0.793241,0.370492,4.45809e-05,0.01213,-0.002336,0.170392,0,1.00444559,0.222671844
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,1,0.55662232,0.8959411,0.33931878,0.55662232,0.828508872,0.271886552,0,0.01662232,m5_headroom,pair_saturation,0.000361703442,1,0.11,0.441032049,0.072951756,0.110194353,0.369996446,0.369999872,0.000194353,0.29704469,0.381707718,0.513983805,0.381707718,0.073214794,0.073216123,0.271707718,0.000263038,3.18307735e-05,4.0632534e-05,1.02947245,0.0112836,0.0970641,0.483145,0.483149,0.392554,3.09195e-05,0.0111579,-0.004456,0.18361,0,0.828508872,0.142523569
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,1,0.54877809,1.01813504,0.46935695,0.54877809,0.939991798,0.391213708,1,-0.05122191,m5_headroom,pair_saturation,0.000178590625,1,0.11,0.450847704,0.07630934,0.110197279,0.489992951,0.489996844,0.000197279,0.413683611,0.490728506,0.527157044,0.490728506,0.076571064,0.076572463,0.380728506,0.000261724,3.19113696e-05,4.37719355e-05,0.945757451,0.0132329,0.151678,0.594503,0.594506,0.392554,3.37416e-05,0.011036,-0.002176,0.178307,0,0.939991798,0.147797142
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,1,0.542211765,1.14039021,0.598178445,0.542211765,1.05135556,0.509143795,1,-0.117788235,m5_headroom,pair_saturation,0.000313392528,1,0.11,0.460006167,0.079655009,0.110199104,0.609990765,0.609995117,0.000199104,0.530335756,0.600479174,0.539661176,0.600479174,0.07991609,0.079917551,0.490479174,0.000261081,3.19846094e-05,4.67803953e-05,0.897078308,0.014597,0.207637,0.70909,0.709094,0.392554,3.56542e-05,0.010411,-0.001879,0.176058,0,1.05135556,0.152834617
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,1,0.542568446,0.850743419,0.308174973,0.542568446,0.806178448,0.263610002,0,0.002568446,m5_headroom,pair_saturation,0.000350909687,1,0.135,0.391416525,0.082295699,0.135192886,0.348185396,0.348189576,0.000192886,0.265889697,0.376781503,0.473712224,0.376781503,0.08255949,0.082561228,0.241781503,0.000263791,3.62963371e-05,4.42549458e-05,1.00352061,0.0190505,0.133001,0.483797,0.483801,0.365141,3.6169e-05,0.013317,-0.003914,0.178624,0,0.806178448,0.165377459
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,1,0.533395,0.972731832,0.439336832,0.533395,0.919539147,0.386144147,1,-0.066605,m5_headroom,pair_saturation,0.000153611924,1,0.135,0.401442849,0.085775347,0.135196547,0.468181028,0.468185801,0.000196547,0.382405681,0.485264119,0.487218196,0.485264119,0.08603764,0.086039437,0.350264119,0.000262293,3.63792295e-05,4.7323052e-05,0.9409192,0.0213405,0.188625,0.596092,0.596096,0.365141,3.86635e-05,0.012767,-0.002369,0.174362,0,0.919539147,0.172649487
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,1,0.525792657,1.09479068,0.568998023,0.525792657,1.03062212,0.504829463,1,-0.134207343,m5_headroom,pair_saturation,0.000274818955,1,0.135,0.410774533,0.089220211,0.135199584,0.588177397,0.58818273,0.000199584,0.498957186,0.594545996,0.499994744,0.594545996,0.089481836,0.089483679,0.459545996,0.000261625,3.64543465e-05,5.02415187e-05,0.898299632,0.0231531,0.245104,0.710506,0.71051,0.365141,4.05815e-05,0.011976,-0.002049,0.172039,0,1.03062212,0.17796977
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,1,0.524026944,0.795393113,0.271366169,0.524026944,0.772224158,0.248197214,1,-0.015973056,m5_headroom,pair_saturation,0.000339490536,1,0.18,0.311632181,0.097382747,0.180190389,0.325033967,0.325038884,0.000190389,0.22765122,0.386128335,0.409014928,0.386128335,0.097646778,0.097648968,0.206128335,0.000264031,4.27912175e-05,4.94742601e-05,0.98655241,0.0353878,0.19225,0.503251,0.503256,0.321384,4.33745e-05,0.015981,-0.003666,0.167645,0,0.772224158,0.200138
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,1,0.512848993,0.91773986,0.404890867,0.512848993,0.889680449,0.376831456,1,-0.087151007,m5_headroom,pair_saturation,0.000157931163,1,0.18,0.322221799,0.101060966,0.180193661,0.445030075,0.445035665,0.000193661,0.343969109,0.494207497,0.423282765,0.494207497,0.101323295,0.101325505,0.314207497,0.000262329,4.2878531e-05,5.2359047e-05,0.940353719,0.0384052,0.248826,0.616223,0.616228,0.321384,4.55983e-05,0.014823,-0.00259,0.164115,0,0.889680449,0.212326742
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,1,0.50366,1.04011412,0.53645412,0.50366,1.00210032,0.49844032,1,-0.15634,m5_headroom,pair_saturation,0.000298856034,1,0.18,0.33202208,0.104671106,0.180197738,0.565025227,0.565031377,0.000197738,0.460354121,0.603170964,0.436693186,0.603170964,0.104932682,0.104934886,0.423170964,0.000261576,4.2957405e-05,5.50684318e-05,0.905523585,0.0409759,0.305983,0.730648,0.730654,0.321384,4.74393e-05,0.013808,-0.00224,0.161832,0,1.00210032,0.220964829
