point_id,corner,temp_c,vdd_v,vcm_v,av0_db,sys_acm0_db,sys_cmrr_db,mc_n,mc_n_ok,mc_n_excluded,op_fail,plateau_fail,acm_lin_mean,acm_lin_sigma,acm_plus_3sigma_db,cmrr_3sigma_db,cmrr_db_mean,cmrr_db_p01,cmrr_db_min,cmrr_1khz_3sigma_db,plateau_max_db
mos_ff_-40C_1.20V,mos_ff,-40,1.20,0.6,43.0893,6.85463,36.2347,300,300,0,0,0,2.19814,0.192321,8.86559,34.2237,36.2819,34.6564,34.3653,34.2246,0
mos_ff_-40C_1.32V,mos_ff,-40,1.32,0.66,44.1351,7.76693,36.3682,300,300,0,0,0,2.45511,0.203237,9.7281,34.407,36.3641,34.975,34.7644,34.408,0
mos_ff_27C_1.08V,mos_ff,27,1.08,0.54,40.9227,4.59185,36.3308,300,300,0,0,0,1.67063,0.261665,7.80325,33.1194,36.5783,34.0538,33.6498,33.12,0
mos_ff_27C_1.20V,mos_ff,27,1.20,0.6,41.9981,7.14758,34.8505,300,300,0,0,0,2.26011,0.209688,9.21548,32.7826,34.9532,33.1721,33.0221,32.7833,0
mos_ff_27C_1.32V,mos_ff,27,1.32,0.66,43.1373,7.9769,35.1604,300,300,0,0,0,2.49783,0.190958,9.74476,33.3925,35.2116,33.9559,33.4023,33.3933,0
mos_ff_125C_1.08V,mos_ff,125,1.08,0.54,39.0791,6.31591,32.7632,300,300,0,0,0,2.07293,0.210336,8.63995,30.4391,32.7923,30.9115,30.6608,30.4396,0
mos_ff_125C_1.20V,mos_ff,125,1.20,0.6,40.4597,7.33182,33.1279,300,300,0,0,0,2.33314,0.175202,9.1235,31.3362,33.126,31.8063,31.5684,31.3367,0
mos_ff_125C_1.32V,mos_ff,125,1.32,0.66,41.6923,7.94573,33.7466,300,300,0,0,0,2.50747,0.185475,9.72547,31.9668,33.7318,32.3653,32.2424,31.9675,0
mos_sf_-40C_1.08V,mos_sf,-40,1.08,0.54,44.0231,7.60384,36.4193,300,300,0,0,0,2.35931,0.846456,13.8016,30.2215,37.3524,31.3483,30.5328,30.2226,0
mos_sf_-40C_1.20V,mos_sf,-40,1.20,0.6,44.3623,2.84058,41.5217,300,300,0,0,0,1.34188,0.538399,9.41725,34.945,42.9301,36.7121,35.223,34.9462,0
mos_sf_-40C_1.32V,mos_sf,-40,1.32,0.66,44.8811,8.08569,36.7954,300,300,0,0,0,2.50631,0.290471,10.5725,34.3086,36.9626,35.2787,34.8704,34.3099,0
mos_sf_27C_1.08V,mos_sf,27,1.08,0.54,42.1969,-3.33143,45.5283,300,300,0,0,0,0.721552,0.475193,6.63717,35.5597,47.8592,36.3964,35.1556,35.5605,0
mos_sf_27C_1.20V,mos_sf,27,1.20,0.6,42.9077,5.46143,37.4463,300,300,0,0,0,1.82467,0.354273,9.2104,33.6973,37.8588,34.3574,34.0356,33.6982,0
mos_sf_27C_1.32V,mos_sf,27,1.32,0.66,43.8668,8.22236,35.6444,300,300,0,0,0,2.56549,0.255167,10.4515,33.4153,35.7273,33.9887,33.7321,33.4163,0
mos_sf_125C_1.08V,mos_sf,125,1.08,0.54,40.1002,-0.996801,41.097,300,300,0,0,0,0.918114,0.342501,5.78115,34.3191,41.7059,35.5027,34.8432,34.3196,0
mos_sf_125C_1.20V,mos_sf,125,1.20,0.6,41.254,6.49637,34.7576,300,300,0,0,0,2.09922,0.256087,9.15,32.104,34.88,32.7706,32.3792,32.1047,0
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,42.4409,8.03427,34.4066,300,300,0,0,0,2.53038,0.242139,10.2558,32.1851,34.4175,32.809,32.2872,32.1859,0
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,42.3964,-20.4358,62.8322,300,300,0,0,0,0.539646,0.416081,5.04681,37.3496,51.2409,37.17,36.0135,37.3502,0
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,42.849,6.2714,36.5776,300,300,0,0,0,2.0489,0.258297,9.01665,33.8323,36.6918,34.6766,34.3211,33.8332,0
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,43.7358,7.95732,35.7785,300,300,0,0,0,2.47923,0.240655,10.1062,33.6296,35.8907,34.2461,33.7978,33.6305,0
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,40.5203,0.275726,40.2446,300,300,0,0,0,1.05146,0.408513,7.14726,33.373,41.0327,34.5161,33.4296,33.3736,0
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,41.4537,6.76338,34.6903,300,300,0,0,0,2.16512,0.230569,9.11769,32.336,34.7933,32.775,32.4033,32.3367,0
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,42.5067,8.13299,34.3737,300,300,0,0,0,2.53007,0.200654,9.91653,32.5902,34.4717,32.8968,32.6213,32.5909,0
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,37.7812,7.03071,30.7505,300,300,0,0,0,2.22797,0.280544,9.74163,28.0396,30.8937,28.6273,28.466,28.0399,0
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,39.5684,7.48961,32.0788,300,300,0,0,0,2.35996,0.204108,9.4618,30.1066,32.1434,30.7048,30.2572,30.1071,0
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,40.8674,8.15938,32.708,300,300,0,0,0,2.54184,0.205098,9.98585,30.8816,32.7929,31.2686,31.0865,30.8821,0
